Curse Name,Casting Cost,Stops Question,Inform seekers,Card Info,Extra Info
Curse of the Ransom Note,"Spell out ""ransom note"" as a ransom note (without using this card).",No,TRUE,"The next question that the seekers ask must be composed of words and letters cut out of any printed material.
The question must be coherent and include at least 5 words.","Once the cost is fulfilled, this curse must be cast immediately. The printed material cannot be printed by the seekers; the letters should be gathered from magazines, newspapers, or any other material that the seekers encounter in the wild. ""Coherence"" in this context does not necessarily mean complete sentences, but the hider should be able to discern the meaning of the question without further clarification. You may use easy-to-understand abbreviations for certain words (such as ""2"" instead of ""to."") If the question requires additional context outside of the basic sentence itself, this context does NOT need to be provided in the form of a ransom note. For example, if you are asking a thermometer question, you can simply ask something along the lines of, ""Went 5 miles. Hotter/colder?"" Any information about where you started and ended the thermometer can be provided as normal, in the form of a location pin or text."
Curse of the Urban Explorer,Discard 3 cards.,No,TRUE,"For the rest of your run, seekers cannot ask questions when they are on transit or in a transit station.","Any pending questions that were asked on transit before this curse was played must still be answered. Questions can still be asked outside of transit stations, but seekers cannot be on a platform or in any building associated with the transit station when asking questions."
Curse of the Labyrinth,Draw a maze,Yes,TRUE,Spend up to S 10 M 20 L 30 minutes drawing a solvable maze and send a photo of it to the seekers. You cannot use the internet to research maze designs. The seekers must solve the maze before asking another question.,"""Solvable,"" in this context, refers to a conventional solution to the maze–you must be able to draw an unbroken line from the start of the maze to the end of the maze. Your time limit begins from the moment you draw your first line; time spent gathering materials does not count. You may discard your maze and start drawing a new maze at any point, but you cannot restart your timer. You may not consult the internet or any other materials when drawing your maze; it must come entirely from your own head. The photo must be of a good enough quality so that the minimum distance between two walls in the maze may be 6 pixels. "
Curse of the Queue,You must currently be in line somewhere. You must be in the line atleast 20 seconds in total.,Yes,TRUE,"Seekers may not ask another question until they've waited in line for at least five minutes. They may wait in different lines, but they cannot wait in the same line more than once. They may not let people cut in front of them in line, and lines must have at least two people when they enter them.",Players are considered no longer in line once there are no more people in front of them.
Curse of the Hide-And-Seek-Ception,"The seekers must be off-transit, at least 300 meters from a transit station.",Yes,TRUE,"All seekers but one must close their eyes. Without discussion, the remaining seeker must go somewhere at least 100 meters away and not within direct eyeshot in any direction. The other seekers must find them, without asking them for any information, before asking another question. The seeker must choose a seeker that counts to a hundred before starting to look.","The hiding seeker may call or text the other seeker(s) when they are in position, but no more communication is allowed. ""Off-transit"" means that players have physically disembarked their last form of transit and that it has left the station (i.e. you cannot temporarily step off a train while it's stopped to fulfill the condition.)"
Curse of the Hidden Hangman,Discard 3 cards.,Yes,TRUE,"Before asking another question or boarding another form of transportation, seekers must beat the hider in a game of hangman. To play. the hider chooses a 5 letter word, and the game ends after either a correct word guess or 7 wrong letter guesses (head, body, two arms, two legs, and a hat). The hider must respond to all queries within 30 seconds. The seekers cannot challenge the hider for 10 minutes after a loss. After S1M2 L3 losses, the seekers must wait 10 more minutes and then the curse is cleared.","The chosen five-letter word must be a real word, found in a dictionary, in the language that the game is being played in. You cannot, for example, use a French word if all players only speak English. If the hider ever fails to respond to a query in 30 seconds, this curse is instantly cleared. In our case the word has to be swedish"
Curse of the Quill,Seekers must be within atleast two shops or/and reasurants in the nearest 500m. Discard 2 cards.,Yes,TRUE,"Before asking another question, the seekers must spell out the name of the category they intend to use (e.g. PHOTO or MATCHING) by sending photos of handwritten letters they've found out in the world. The letters do not all need to be found in the same place, but they must be created by other people and not printed by any kind of machine. They cannot use a letter twice.","The category words are: MATCHING, MEASURING, RADAR, THERMOMETER, PHOTO, TENTACLES. There must be reasonable evidence to suggest that a handwritten letter was written directly on the surface by a person (with a pencil, pen, marker, paintbrush, spray can, chalk, etc.) and not printed."
Curse of the Right Turn,Discard a card.,No,TRUE,"For the next S 20 M 40 L 60 minutes, the seekers can only turn right at any street intersection. If, at any point, they find themselves in a dead end where they cannot continue forward or turn right for another 300 meters, they may do a full 180. A right turn is defined as a road at any angle that veers to the right of the seekers.","This curse only applies to street intersections, meaning the intersection between two roads intended for cars (or pedestrian sidewalks along those roads.) This curse would not have any effects indoors, or in an area where there are no streets."
Curse of the Egg Partner,Discard two cards. The seekers must be atmost 400m from an open grocery store.,Yes until aquired,TRUE,"The seekers must acquire an egg before asking another question. This egg is now treated as an official team member of the seekers. If any team members are abandoned or killed (defined as any crack, in the egg's case) before the end of your run, you are awarded an extra S 30 M 45 L 60 minutes. This curse cannot be played during the endgame.","The egg can be from any type of animal, but it must be a real egg (a chocolate egg or a plastic egg, for example, would not count.) Any visible fracture, however small, counts as killing the egg. If you do not want to buy items during the course of your game, or object to this curse on ethical grounds, this curse should be removed from the deck. For any other curse that requires all seekers to do something, the egg counts as a seeker. For example, using the Curse of the Lemon Phylactery after this curse has been played would require the egg to have a lemon attached to it."
Curse of the Lemon Phylactery,Discard a powerup. The seekers must be atmost 400m from an open grocery store.,Yes until aquired,TRUE,"Before asking another question, the seekers must each find a lemon and affix it to the outermost layer of their clothes or skin. If, at any point, one of these lemons is no longer touching a seeker, you are awarded an extra S 30 M 45 L 60 minutes. This curse cannot be played during the endgame.","The lemon must be a real lemon. It can be affixed using any means, but must be constantly touching the seekers’s skin or clothes. Once the lemon falls, the hider should be informed of their bonus immediately."
Curse of the Runner,Run 600m in 5 min.  Use strava to measure.,No,TRUE,"For the next S 30 M 45 L 60 minutes, the seekers are only allowed to run or be still. They may not walk.","""Running"" is defined as a gait that does not have a double-support phase (i.e. both feet cannot be touching the ground at the same time.) If players want to be still and place both feet on the ground simultaneously, they must do so for 5 seconds or longer. Players may not discard part of a time bonus; they must discard cards in their entirety. It is possible that players may have to discard more than the required number of minutes in order to pay for this curse."
Curse of the 5-Minute King,Discard two 5-minute bonus cards.,No,FALSE,"Remove all 5-minute bonuses from the deck for the rest of your run. After doing so, you must reshuffle the deck.",
Curse of the Void,Discard a veto.,No,TRUE,"For the next three questions that the seekers ask, roll a die. If you roll a 1, 2,  or 3 that question is automatically vetoed.","If the seekers had a free question and its vetod by this curse, the next question is a draw 1 keep 1 unless another curse changes something."
Curse of the Empty Mind,You cannot draw cards for the rest of the round.,No,FALSE,Search through the deck and choose any three cards to add to your hand. You must play this curse immediately.,"""Immediately"" means that this curse never enters your hand; it is played the moment it is chosen. Cards must be chosen before the next question is asked."
Curse of the Overflowing Chalice,Discard a card.,No,FALSE,"For the next three questions, you may draw (not keep) an additional card when drawing from the hider deck.",
Curse of the Long Shot,Seekers must be within 3km of you. Discard a curse.,No,TRUE,"Once this curse is cast, the seekers have five minutes to provide one guess as to what transit station you are centered at. This is done by then giving a radius of 500m from any point. If they are correct(your station is inside), you must tell them so. If they are incorrect, they are frozen for 10 minutes.
","When seekers are ""frozen,"" they cannot make progress on clearing other curses or take any form of transit. If they are currently on transit when they become frozen, they must disembark at the next opportunity and wait out the rest of their freeze period at that station. Players may walk around freely while frozen for non game-related reasons, but must resume from the place where they were frozen when the freeze period concludes."
Curse of the Bridge Troll,Seekers must be at least 2 km from you and need to have an accesable bridge within 1km of them.,No,TRUE,The seekers must ask their next question from under a bridge.,"""Bridge"" is defined as any elevated structure, acting as a path, road or railway, intended to be crossed by pedestrians, cars, or other vehicles. All seekers must have some part of their body under some part of the bridge when the next question is asked. If there are no bridges on the game map, this curse should be removed from the deck."
Curse of the Oracle,Discard two cards.,Yes,TRUE,"Seekers must flip a coin and predict its outcome while it is in the air. If they are correct, they do it again.
If they are wrong, they must wait 30 seconds. They may not ask another question until they get it correct three times in a row.",
Curse of the Chasm,Discard a randomize.,No,TRUE,"For the next three questions that the seekers ask, they must roll a die. If they roll a 1, 2,  or 3 that question is automatically randomized.",
Curse of the Express Route,Discard at least 10 minutes worth of time bonuses.,No,TRUE,"Seekers cannot disembark any transit for the next 10 minutes, unless they've reached the end of a line.",Players may not discard part of a time bonus; they must discard cards in their entirety. It is possible that players may have to discard more than the required number of minutes in order to pay for this curse.
Curse of the Endless Tumble,"Roll a die. If it's a 5 or a 6, this card has no effect.",Yes,TRUE,"Seekers must roll a die at least 30 meters and have it land on a 5 or a 6 before they can ask another question.
The die must roll the full distance, unaided, using only the momentum from the initial throw and gravity to travel the 30 meters. If the seekers accidentally hit someone with a die, you are awarded a 10 minute bonus.","30 metres is measured parallel to the ground. The die can, and likely should, be rolled on an inclined surface. If the die is lost or does not land cleanly on one side, it cannot be counted. Any bonuses awarded to the hider should be delivered immediately."
Curse of the Mediocre Travel Agent,Their vacation destination must be further from you than their current location.,Yes,TRUE,"Choose any publicly-accessible place within 500 m of the seekers' current location. They cannot currently be on transit. They must go there, and spend at least 5 minutes, before asking another question. They must send you at least three photos of them enjoying their vacation, and procure an object to bring you as a souvenir. If this souvenir is lost before they can give it to you, you are awarded an extra 30 minutes.","""Publicly accessible"" in this context follows the same rules as ""publicly accessible"" in the context of hiding spots. The destination does not need to be a single point; it can be a small general area like a park or store. The souvenir can be literally any physical object. It does not need to be with the seekers at all times, but it must be with them at the moment that the hider is caught."
Curse of the Prophet,Discard two cards.,No,FALSE,Rearrange the top ten cards of the deck in any order you choose.,
Curse of the Clone,Find a stranger. The seekers have to in a populated area; at minimum 10 open shops or serviceplaces(like barbershops) within 500m of them.,Yes,TRUE,"Find a stranger in public and note the following things about them:
Do they have long sleeves or short sleeves?
Do they have long pants/skirt or short pants/skirt?
Do they have glasses or no glasses?
Do they have a hat or no hat?
Do they have a bag or no bag?
The seekers must find a stranger with the same qualities before asking another question.","Long sleeves are defined as sleeves that extend past the elbow, and long pants/skirts are defined as extending past the knee."
Curse of the Sniper,A photo of the seekers.,No,TRUE,"Send the seekers a photo you've taken of them. Upon receiving this curse, they have 60 seconds to take a photo of you and end your run(read extra info). If they fail, draw and keep five cards. You no longer have a maximum hand size. Also if they fail they are freezed for 2 minutes and your allowed to find a new  hiding spot during those 2 minutes(if in the endgame otherwise just hide). ",All seekers must be visible in the photo provided. The 60 seconds begins from the moment the curse and photo are delivered. You must immediately call the seekers to confirm that they have recived the info then the 60 seconds begins.
Curse of the Open Mind,Discard your whole hand.,No,FALSE,You no longer have a hand size limit.,"The discard your whole hand overides any other card or curse, to play this you must discard every card in your hand."
Curse of the Freewheeler,Seekers must be at least 4 km from you. The seekers must be within 500m of an sl spårvägs line station or a buss station with atmost 15 minutes traffic..,Yes,TRUE,The next three questions that the seekers ask must be asked while on a moving form of transit.,
Curse of the Pomologist,A photo of a fruit. The seekers be atmost 400m from an open grocery store.,Yes,TRUE,"Send the seekers a photo of a fruit, along with a link to its corresponding Wikipedia page. They must find the same type of fruit before asking another question. The hider must find this fruit in the real world.","Specificity is defined by the title of the Wikipedia page (e.g. ""Golden Delicious"" is a variety of apple that has a Wikipedia page, so finding a Golden Delicious apple would require the seekers to do the same. ""Summerset"" is a variety of apple that does not have a Wikipedia page, so you could send the Wikipedia page for ""apple"" and the seekers could respond with anything that would fall under the category of ""apple."") You cannot create a Wikipedia page. If the fruit is found without an plaque(or similar) explicity mentioning its variety the hider may only send the general category of the fruit, for example apple for an apple. The seekers are able to abandon this question for a 25 minute penalty period. The hider is allowed to go to a botanical garden if its within his zone."
Curse of the Grass-Toucher,This curse must be cast at least 75 meters from any named street. If the seekers are i innerstan this curse cost 3 cards to play.,No,TRUE,"The next question that the seekers ask must be asked at least 75 meters from any named street (on Google Maps.)
As always, no trespassing.",
Curse of Spotty Memory,Discard a time bonus.,No,TRUE,"For the rest of your run, one random category of questions will be disabled at all times. After this curse is played, seekers must roll a die to determine the category of questions to be disabled. This category remains disabled until the next question is asked, at which point a die is rolled again to choose a new category. The same category can be disabled multiple times in a row.","The seekers should assign die numbers to each category before their first roll. For small-sized games, which only include five categories of questions, a six would result in a reroll."
Curse of the Untethered Spirit,The tracker is reversed.,No,TRUE,You may move freely within your hiding zone during this round's endgame.,When played the seekers may choose to have a pause period of the game until the recive a working location tracker of the hider. The hider or seekers may not move during this period. If the seekers choose to not have this period the hider still has to send his location as fast as possible but both parties are allowed to move.
Curse of the Distant Cuisine,You must be at the restaurant.,Yes,TRUE,Find a restaurant within your zone that explicitly serves food from a specific foreign country. The seekers must visit a restaurant serving food from a country that is an equal or greater distance away before asking another question.,"The restaurants used in this curse must explicit reference a single country or region within a single country within either their name or some other public-facing material such as a menu. If a restaurant associates itself with multiple countries, or a region larger than a single country (such as an ""Asian"" restaurant), it cannot be used for this curse. Distance from a given country is measured from your exact location to the nearest point in that country."
Curse of the Shark,Discard a power-up.,No,TRUE,"For the next 30 minutes, the seekers are not allowed to stop walking for any reason.","The seekers may walk in small circles. Walking in place is not allowed. The same foot has to placed atleast 10cm from its previous place to count as walking, measuuring centre to centre of the shoe. "
Curse of the U-Turn,Seekers must be heading the wrong way. (Their next station is further from you than they are.),No,TRUE,The seekers must disembark their current mode of transportation at the next station (as long as that station is serviced by another form of transit in the next 30 minutes).,"""Next Station,"" in this context, refers to the next station that the seekers' current mode of transit will stop at; if there are any stops along the line that their current route will skip, those should be disregarded. If you are not sure whether the seekers are on transit, or whether their route will stop at a particular station, you may ask them for that information. If there is any ambiguity, you should tell them what you believe their next station is when this curse is cast to confirm that you didn't misread their tracker. Even if the seekers' current mode of transit would eventually bring them closer to you, this curse may still be played so long as their next station is further; a line that heads in your direction but temporarily curves away is a particularly advantageous situation for this curse."
Curse of the Planespotter,Seekers must be within 15 km of a commercial airport. Take a photo of an airplane flying.,Yes,TRUE,"The seekers must take a photo of an airplane and send it to the hider before asking another question.
","An airplane is a object capable of selfpropeled flight that isnt a helicopter, and has human pilots."
Curse of the Impressionable Consumer,The seekers next question is free. The seekers must be atmost 400m from an open grocery store.,Yes,TRUE,"Seekers must enter and gain admission (if applicable) to a location or buy a product that they saw an advertisement for before asking another question. This advertisement must be found out in the world, not on a seeker's device, and must be at least 30 meters from the product or location itself.
","Any object or display whose primary purpose is to raise awareness of a product, service, or business counts as an advertisement. If the advertisement is for a specific service, such as a massage, the seekers must pay for and receive the service advertised. If the advertisement is for a location but not a specific service, such as an amusement park, the seekers must enter that location. Locations that are not private businesses, such as a public park, do not count. If you do not want to be forced to potentially spend money to fulfill this curse, it should be removed from the deck."
